# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
6.599999904632568e+00	+3.201449980182482e-02	+4.733560661932954e-01	+1.148587576598521e-18
6.699999809265137e+00	+3.202390561982428e-02	+4.737831199012219e-01	+1.150158076109685e-18
6.800000190734863e+00	+3.172785312917153e-02	+4.720340997968157e-01	+1.141033193593904e-18
6.900000095367432e+00	+3.173493243443316e-02	+4.712892408233363e-01	+1.142371524149324e-18
7.000000000000000e+00	+3.145200804515581e-02	+4.692362321129679e-01	+1.133385309965886e-18
7.099999904632568e+00	+3.157499183567473e-02	+4.689319566364799e-01	+1.134164510308854e-18
7.199999809265137e+00	+3.138816133936213e-02	+4.671560875722845e-01	+1.125538729074121e-18
7.300000190734863e+00	+3.138936338239189e-02	+4.659771670645051e-01	+1.122989721836469e-18
7.400000095367432e+00	+3.134572525422694e-02	+4.646475378251885e-01	+1.119283353969352e-18
7.500000000000000e+00	+3.151800823589729e-02	+4.646676180771962e-01	+1.120271515486833e-18
7.599999904632568e+00	+3.142210506018057e-02	+4.630306767930451e-01	+1.115682714577759e-18
7.699999809265137e+00	+3.138785555703564e-02	+4.623984870658542e-01	+1.112554684277404e-18
7.800000190734863e+00	+3.157887727989966e-02	+4.630382043572869e-01	+1.115164116806035e-18
7.900000095367432e+00	+3.149936550591325e-02	+4.617565918658247e-01	+1.112519338295841e-18
8.000000000000000e+00	+3.147705889746445e-02	+4.620652507102387e-01	+1.105527023933125e-18
8.100000381469727e+00	+3.160726114943681e-02	+4.617839030302116e-01	+1.112497820586856e-18
8.199999809265137e+00	+3.151005357186001e-02	+4.613059401759948e-01	+1.109393010593089e-18
8.300000190734863e+00	+3.148077254453736e-02	+4.610599944570076e-01	+1.109609662430168e-18
8.399999618530273e+00	+3.172853426366556e-02	+4.626453810888214e-01	+1.114934580452969e-18
8.500000000000000e+00	+3.151837988046190e-02	+4.609735691788948e-01	+1.110364774476562e-18
8.600000381469727e+00	+3.171590126932508e-02	+4.624663858939745e-01	+1.115798915211323e-18
8.699999809265137e+00	+3.173444645514675e-02	+4.622986284518721e-01	+1.111825739367478e-18
8.800000190734863e+00	+3.165649841345796e-02	+4.617397964295457e-01	+1.112264114912859e-18
8.899999618530273e+00	+3.158911319535539e-02	+4.614905465731836e-01	+1.112277570599189e-18
9.000000000000000e+00	+3.155810181649728e-02	+4.617121438976023e-01	+1.105352221985030e-18
9.100000381469727e+00	+3.167683384306057e-02	+4.618975021032910e-01	+1.111906252603993e-18
