# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
1.811880022287369e-01	+2.954498942528418e-01	+1.072767989793783e-01	+3.081940137904949e-18
1.825065314769745e-01	+2.883523974014190e-01	+1.133545127661783e-01	+1.878018915826394e-18
1.838250756263733e-01	+2.932631000378133e-01	+1.227864862481075e-01	-9.154683548971259e-18
1.851414889097214e-01	+2.862497946576156e-01	+1.287103366113256e-01	+1.370944328784773e-17
1.864578872919083e-01	+2.821177453174575e-01	+1.354242138638317e-01	-7.935873678473075e-18
1.877721846103668e-01	+2.804390126210459e-01	+1.430024420954859e-01	+1.341148315593231e-17
1.890864670276642e-01	+2.791557107274212e-01	+1.508235094466167e-01	+3.629401410916939e-18
1.903986185789108e-01	+2.765488326355023e-01	+1.581639317318204e-01	-9.437005108350319e-18
1.917107850313187e-01	+2.720022194577690e-01	+1.646381580967739e-01	+9.860517037292950e-19
1.930229365825653e-01	+2.672763630811671e-01	+1.709952661362877e-01	+1.445454696911489e-17
1.943329721689224e-01	+2.626828159268697e-01	+1.773241271432787e-01	+1.499594285662887e-18
1.956429928541183e-01	+2.590683339195665e-01	+1.841965434774040e-01	+1.728638278757190e-18
1.969508826732635e-01	+2.558945979941807e-01	+1.913297344924773e-01	+3.005623307321567e-18
1.982587873935699e-01	+2.512670462885177e-01	+1.976329152390059e-01	+1.533628910759176e-18
1.995645612478256e-01	+2.467141091202553e-01	+2.039739398946078e-01	-8.915339931751506e-18
2.008703202009201e-01	+2.419317750461493e-01	+2.101444111277263e-01	+4.743493471666629e-19
2.021739631891251e-01	+2.367596476355225e-01	+2.160255219173907e-01	+1.512807903707985e-17
2.034775912761688e-01	+2.316488799831519e-01	+2.219339758311702e-01	+2.878212337775779e-18
2.047812342643738e-01	+2.265302531658378e-01	+2.278337815097111e-01	+1.804335559212840e-18
2.060827314853668e-01	+2.213578673871720e-01	+2.336759339477545e-01	+2.280236360193890e-18
2.073842436075211e-01	+2.158260142464860e-01	+2.392239045770091e-01	+1.471737045856271e-18
2.086836099624634e-01	+2.102751530413988e-01	+2.447356365321333e-01	+1.380400596621607e-18
2.099829763174057e-01	+2.040281987684002e-01	+2.495714851636020e-01	+2.198163674703708e-18
2.112802118062973e-01	+1.992746228348827e-01	+2.558654050578419e-01	+3.010078016108623e-18
2.125774621963501e-01	+1.925295469836517e-01	+2.601658575893168e-01	-1.150494531829146e-17
2.138725519180298e-01	+1.868036410651225e-01	+2.654711824712310e-01	+1.521349389385211e-17
2.151676565408707e-01	+1.796667882102064e-01	+2.692099620088810e-01	+3.489008616235264e-18
2.164606302976608e-01	+1.735662412281381e-01	+2.740576196358769e-01	-1.228681276063007e-17
2.177536040544510e-01	+1.680120500796462e-01	+2.796795615606565e-01	+1.371695866635648e-17
2.190444320440292e-01	+1.609048339226508e-01	+2.833156731967680e-01	+1.026220569623708e-18
2.203352749347687e-01	+1.546974406131411e-01	+2.880859014659476e-01	-7.607288852451293e-18
2.216239720582962e-01	+1.476417991492431e-01	+2.917039859610061e-01	+1.199041222112438e-17
2.229126691818237e-01	+1.406559097881747e-01	+2.953517543070245e-01	+2.471885882972449e-18
2.241992503404617e-01	+1.335973389855245e-01	+2.988449842476512e-01	+1.872167814279198e-18
2.254858165979385e-01	+1.265528018138040e-01	+3.023788836360437e-01	+1.704113903691105e-18
2.267723828554153e-01	+1.198519001982005e-01	+3.064757720537418e-01	+3.615841228050490e-18
2.280568182468414e-01	+1.121143596674841e-01	+3.087133084956582e-01	+5.024701316637448e-19
2.293412387371063e-01	+1.053342401945621e-01	+3.127371019442041e-01	+3.083821218516258e-18
2.306235432624817e-01	+9.747527400473857e-02	+3.144993905060549e-01	+2.955137762346961e-19
2.319058328866959e-01	+9.124803100915937e-02	+3.201339182816140e-01	+2.580148644989870e-18
2.331859916448593e-01	+8.266709473465594e-02	+3.198702181956986e-01	+1.478752287798964e-18
2.344661504030228e-01	+7.591958617916218e-02	+3.245596173373782e-01	+1.418418702893914e-18
2.357441633939743e-01	+6.686733635522271e-02	+3.223483542330259e-01	+2.646342065065788e-18
2.370221912860870e-01	+6.068224960232298e-02	+3.291547635173785e-01	+2.391040203354701e-18
2.382980734109879e-01	+5.259032887872087e-02	+3.297635350953327e-01	+1.298187996450230e-18
2.395739555358887e-01	+4.431158151652859e-02	+3.293860322204649e-01	+3.836724738406981e-18
2.408476918935776e-01	+3.645832511750277e-02	+3.304633156084958e-01	+1.982063498724166e-18
2.421214431524277e-01	+2.875494615758108e-02	+3.322587029096430e-01	+2.681880604231736e-18
2.433951795101166e-01	+2.096753106992464e-02	+3.337583695458562e-01	+2.953246370950978e-19
2.446667850017548e-01	+1.238367980413372e-02	+3.298509671721813e-01	+4.451939252052731e-19
2.459383904933929e-01	+5.431852781732679e-03	+3.376495948713063e-01	+1.616399724448347e-18
2.472078651189804e-01	-2.984464469796662e-03	+3.336409589486996e-01	+2.655090984330347e-18
2.484773248434067e-01	-1.097445398337139e-02	+3.328840595791726e-01	+3.362315473337317e-18
2.497446537017822e-01	-1.876464782128941e-02	+3.347600492969034e-01	+1.407051315995903e-18
2.510119676589966e-01	-2.665393189533237e-02	+3.365027075909093e-01	+1.799262019400356e-18
2.522771656513214e-01	-3.461986233874895e-02	+3.368480949769905e-01	+5.499209837890656e-19
2.535423338413239e-01	-4.259608158265678e-02	+3.357416924034671e-01	+3.893850512241014e-18
2.548053860664368e-01	-5.049957876312986e-02	+3.341347794690243e-01	-3.051161807510327e-20
2.560684084892273e-01	-5.839577682349854e-02	+3.327699780290884e-01	+2.439087247406538e-18
2.573314607143402e-01	-6.631627574279350e-02	+3.320237221395144e-01	+1.190694554098670e-18
2.585923671722412e-01	-7.418867033626630e-02	+3.308338246312348e-01	+2.431806662541099e-18
